OGS	musDom	gloMor	droWil	droPse	droYak	droMel	droAna	droVir	droMoj	culQui	aedAeg	anoDar	anoSte	anoGam
sim.846.002	1	2	1	2	2	2	2	3	3	0	0	0	0	0
sim.847.002	1	2	2	2	2	2	1	3	3	1	2	1	2	3
sim.848.002	1	2	2	4	3	3	5	4	3	1	1	1	1	1
sim.849.002	2	3	2	3	2	2	2	1	1	0	0	0	0	0
sim.85.002	1	1	1	1	1	1	2	0	1	0	0	0	0	0
sim.850.002	2	2	2	2	2	2	3	2	1	1	1	1	1	1
sim.851.002	2	2	2	2	2	3	2	7	3	0	0	0	0	0
sim.852.002	1	1	0	1	1	1	2	3	2	2	1	1	4	3
sim.853.002	0	0	0	0	0	0	0	0	0	2	2	2	1	2
sim.854.002	1	0	1	1	1	1	1	1	1	1	1	1	1	1
sim.855.002	1	1	1	1	1	1	1	1	1	2	1	1	2	3
sim.856.002	1	1	2	0	1	1	0	2	1	1	1	2	2	1
sim.857.002	1	2	1	1	2	1	1	1	2	1	2	2	1	1
sim.858.002	0	0	0	0	0	0	0	0	0	1	1	1	1	1
sim.859.002	0	0	0	0	0	0	0	0	0	1	3	1	0	0
sim.86.002	0	0	0	0	0	0	0	0	0	1	1	0	1	1
sim.860.002	1	1	0	0	0	0	0	0	0	0	1	1	1	1
sim.861.002	0	0	1	1	1	1	1	1	1	1	1	0	0	0
sim.862.002	2	2	4	2	2	2	3	3	2	0	0	0	0	0
sim.863.002	1	2	1	1	1	1	1	1	1	1	1	1	1	1
sim.864.002	0	0	0	0	0	0	0	0	0	1	1	2	3	2
sim.865.002	0	0	0	0	0	0	0	0	0	1	1	2	1	1
sim.866.002	1	1	1	1	1	1	1	1	0	1	2	2	0	0
sim.867.002	3	3	2	1	1	1	1	1	0	3	2	4	3	4
sim.868.002	1	1	1	1	1	2	1	1	1	0	0	0	0	0
sim.869.002	3	3	2	2	2	2	2	2	1	0	1	1	1	1
sim.87.002	1	1	3	3	3	3	3	1	0	0	2	3	3	5
sim.870.002	0	0	0	0	0	0	0	0	0	2	1	2	2	1
sim.871.002	1	2	1	1	1	0	0	1	0	1	1	1	1	1
sim.872.002	1	1	1	1	1	1	1	0	1	1	1	2	1	1
sim.873.002	2	3	2	1	1	1	1	2	2	0	0	0	0	0
sim.874.002	0	0	0	0	0	0	0	0	0	1	0	1	2	1
sim.875.002	1	2	1	2	1	1	1	1	1	0	0	0	0	0
sim.876.002	1	1	1	2	1	1	1	1	1	0	0	0	0	0
sim.877.002	3	2	2	2	1	1	2	1	1	2	2	1	1	1
sim.878.002	0	0	0	0	0	0	0	0	0	0	0	2	2	2
sim.879.002	1	1	3	1	1	1	1	2	2	1	3	2	1	3
sim.88.002	0	0	0	0	0	0	0	0	0	2	1	1	1	1
sim.880.002	2	1	1	1	1	1	1	1	1	0	0	0	0	0
sim.881.002	0	1	1	1	1	1	1	1	1	1	1	1	1	1
sim.882.002	0	0	0	0	0	0	0	0	0	2	1	4	7	4
sim.883.002	0	0	0	0	0	0	0	0	0	1	1	1	2	1
sim.884.002	4	1	3	2	3	3	4	5	4	1	1	1	1	0
sim.885.002	0	1	2	1	1	1	1	2	1	0	0	0	0	0
sim.886.002	6	6	8	6	6	8	5	7	4	0	0	0	0	0
sim.887.002	0	0	0	0	0	0	0	0	0	1	1	2	1	4
sim.888.002	2	2	0	2	1	1	0	0	0	1	1	1	2	2
sim.889.002	3	4	1	1	1	1	1	1	1	1	1	3	2	2
sim.89.002	1	2	1	1	1	1	1	1	1	1	1	1	1	1
sim.890.002	3	3	1	1	1	1	1	1	1	0	0	0	0	0
sim.891.002	1	1	2	1	2	1	2	1	0	1	4	1	2	2
sim.892.002	1	2	1	1	1	1	1	1	1	1	2	4	4	4
sim.893.002	0	0	0	0	0	0	0	0	0	1	1	1	1	1
sim.894.002	1	1	1	1	1	1	1	1	1	1	1	1	0	1
sim.895.002	1	1	2	1	2	1	1	1	1	3	3	2	1	3
sim.896.002	0	0	0	0	0	0	0	0	0	1	1	2	1	1
sim.897.002	0	0	1	2	3	3	3	3	3	0	0	0	0	0
sim.898.002	2	2	2	2	2	2	2	2	3	1	1	1	1	1
sim.899.002	1	2	1	1	1	1	2	1	1	1	0	1	2	1
sim.9.002	2	1	3	4	3	3	3	2	2	0	0	3	2	2
sim.90.002	4	3	2	2	1	1	2	2	2	1	1	2	3	2
sim.900.002	1	1	0	2	1	1	2	1	1	0	0	0	0	0
sim.901.002	4	1	3	3	4	4	4	3	4	0	0	0	0	0
sim.902.002	0	0	0	0	0	0	0	0	0	1	1	1	0	1
sim.903.002	1	0	1	1	1	1	1	1	1	2	2	2	1	1
sim.904.002	0	0	1	1	2	1	1	1	1	1	1	0	0	0
sim.905.002	2	4	1	1	1	1	1	0	1	1	1	1	1	0
sim.906.002	0	1	1	2	2	2	2	2	2	1	1	0	0	0
sim.907.002	2	0	1	1	1	1	1	0	0	1	1	2	1	1
sim.908.002	1	1	1	1	1	1	1	1	1	0	0	0	0	0
sim.909.002	2	2	1	2	2	3	2	2	3	0	0	1	1	1
sim.91.002	2	2	2	1	2	2	2	2	2	0	0	0	0	0
sim.910.002	2	2	1	2	3	3	3	3	3	0	0	0	0	0
sim.911.002	1	1	0	0	0	0	0	0	0	2	1	2	2	2
sim.912.002	6	5	3	6	3	3	3	2	2	1	1	2	3	4
sim.913.002	0	0	0	0	0	0	0	0	0	2	2	1	1	1
sim.914.002	0	0	0	0	0	0	0	0	0	2	1	2	3	4
sim.915.002	3	1	1	3	2	3	1	1	0	2	3	1	1	1
sim.916.002	2	2	1	1	1	1	2	1	1	1	1	1	1	1
sim.917.002	1	0	1	1	2	2	1	1	1	2	1	2	1	1
sim.918.002	1	0	0	1	2	2	2	1	1	1	1	2	1	1
sim.919.002	2	2	2	2	2	2	2	2	2	0	2	1	4	2
sim.92.002	0	0	0	0	0	0	0	0	0	1	3	2	0	1
sim.920.002	4	2	3	2	3	3	3	3	6	0	0	0	0	0
sim.921.002	1	1	1	1	1	1	1	2	2	1	1	0	1	1
