ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
3519	0	0	0	0	0	0	0	0	0	0	0	0	0	1
352	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3520	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3521	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3522	0	0	0	0	0	0	0	0	0	1	1	1	1	1
3523	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3524	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3525	0	0	0	0	1	0	0	0	0	0	0	0	0	0
3526	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3527	1	1	1	1	1	1	2	1	1	1	1	1	1	0
3528	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3529	1	0	0	1	1	1	1	1	1	0	0	0	0	0
353	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3530	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3531	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3532	0	0	0	0	0	0	0	0	0	1	1	1	1	1
3533	0	0	0	2	2	0	0	1	0	1	1	1	1	1
3534	0	0	0	0	0	1	1	0	0	0	0	0	0	0
3535	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3536	0	0	0	0	1	0	0	0	0	0	0	0	0	0
3537	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3538	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3539	0	0	0	0	1	0	0	0	0	0	0	0	0	0
354	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3540	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3541	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3542	1	1	1	0	1	1	1	1	1	1	1	1	1	1
3543	0	0	1	1	1	1	1	1	1	0	0	0	0	0
3544	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3545	1	1	1	1	1	1	1	1	1	0	1	0	0	1
3546	1	1	1	1	1	1	1	1	1	1	1	1	1	2
3547.1	3	1	3	3	3	2	3	2	3	0	0	0	0	2
3547.2	3	2	2	2	4	2	6	2	2	3	5	2	5	4
3548	1	1	1	1	1	1	1	1	1	0	0	0	0	0
3549	0	0	0	0	0	0	0	0	1	0	0	0	0	0
355	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3550	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3551	1	1	1	1	1	1	1	1	1	1	1	1	2	1
3552	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3553	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3554	1	1	1	3	1	1	1	1	1	1	1	1	1	1
3555	1	0	1	1	1	1	1	1	1	1	1	1	1	6
3556	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3557	0	0	0	0	0	0	0	0	0	0	0	0	1	1
3558	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3559	1	1	1	1	1	1	1	1	1	1	1	1	1	1
356.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
356.2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
3560	1	1	1	1	1	1	1	1	1	0	0	1	0	2
3561	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3562	0	0	0	0	0	0	0	0	0	1	1	1	0	1
3563	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3564	1	1	1	1	1	1	1	1	1	0	0	0	0	0
3565	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3566	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3567	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3568	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3569	2	3	1	2	1	1	1	1	1	1	1	1	0	1
357	1	2	1	1	1	1	1	1	1	1	1	1	1	1
3570	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3571	0	0	0	0	0	0	0	0	0	1	1	1	0	0
3572	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3573	0	0	0	0	0	0	0	0	0	1	1	1	1	2
3574	0	1	1	1	1	1	1	1	1	1	1	1	0	0
3575	0	0	1	1	1	1	1	0	0	0	0	0	0	0
