desc	ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
none	10384.2.1.1.2.1.1.1.1.1	1	1	1	1	1	1	2	1	1	1	1	1	2	1
none	10384.2.1.1.2.1.1.1.1.2	1	2	1	1	1	1	1	1	1	5	3	3	7	8
none	10384.2.1.1.2.1.1.1.2	3	0	0	0	0	0	0	0	0	1	0	1	8	2
none	10384.2.1.1.2.1.1.2.1	0	1	0	0	0	0	0	1	0	3	1	2	16	20
none	10384.2.1.1.2.1.1.2.2.1	2	2	0	0	0	0	0	0	0	0	0	0	3	5
none	10384.2.1.1.2.1.1.2.2.2.1	1	0	0	0	0	0	0	0	0	0	0	0	9	0
none	10384.2.1.1.2.1.1.2.2.2.2	2	2	0	1	1	1	1	0	0	1	1	0	1	2
none	10384.2.1.1.2.1.2	1	0	0	0	0	0	0	0	0	1	1	1	8	5
none	10384.2.1.1.2.2	0	0	0	0	1	6	0	0	1	4	1	1	3	17
none	10384.2.1.2.1	0	1	0	0	0	0	0	0	0	1	0	2	4	0
none	10384.2.1.2.2	1	0	0	0	0	0	0	0	0	0	0	0	11	1
none	10384.2.2	1	1	0	0	0	0	0	0	0	0	0	0	1	1
none	1039	2	1	1	1	1	1	1	1	1	1	1	0	0	0
none	10390	2	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10392	1	1	1	1	1	1	1	1	1	1	0	1	1	5
none	10397	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10401.1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
none	10401.2	1	1	1	1	1	1	1	1	2	1	1	1	2	1
none	10406	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	1042	1	1	1	2	1	1	1	1	1	1	1	1	1	1
none	10420	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10421	0	0	0	0	0	0	0	0	1	0	0	0	0	2
none	10426	1	1	0	1	1	1	1	1	1	0	1	0	1	1
none	1043	1	2	1	1	1	1	3	1	1	1	1	1	1	5
none	10433	1	1	1	1	1	1	1	1	1	1	1	1	2	0
none	10441	1	2	1	1	1	1	1	1	1	1	1	1	1	1
none	10442	1	1	1	1	1	1	1	1	1	0	0	0	0	1
