ogs	desc	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
10472	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10473	none	0	0	0	1	1	0	0	1	0	0	1	0	0	0
10474	none	4	0	3	3	6	4	2	6	7	4	3	0	1	1
10477	none	1	0	1	1	1	1	1	1	1	1	1	2	2	1
10480	none	1	1	1	1	1	1	1	1	1	1	1	1	2	1
10481	none	1	1	1	1	1	1	1	1	1	1	1	1	1	8
10483	none	1	1	1	1	1	1	1	1	1	1	0	1	1	1
10484	none	1	2	1	1	1	1	1	1	1	1	1	1	2	1
10488	none	1	2	1	1	1	1	1	1	1	1	1	1	1	1
10492	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10496	none	1	1	1	1	1	1	1	1	1	1	1	1	2	1
10498	none	2	1	1	1	1	1	1	1	1	1	1	1	1	1
10500	none	1	1	1	1	1	1	1	1	1	1	1	1	2	1
10501.1	none	1	0	1	1	1	1	1	1	1	0	0	0	1	1
10501.2	none	1	1	1	1	1	1	2	0	0	6	4	3	8	9
10504	none	1	1	1	1	2	1	2	2	1	1	1	1	2	2
10505	none	0	1	1	1	1	1	4	1	1	0	0	1	0	0
10508	none	1	1	1	2	1	1	1	1	1	1	1	1	1	1
10512	none	1	0	1	1	1	1	2	1	1	1	1	1	1	1
10519	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10526	none	1	1	1	2	1	1	1	1	1	1	1	1	2	1
10531	none	0	1	0	0	0	0	0	0	0	1	1	1	1	1
10532	none	1	0	1	1	1	1	1	1	1	1	1	1	1	1
10534	none	1	1	1	1	1	1	1	1	1	2	1	1	2	1
10544	none	0	0	0	1	0	0	0	0	0	0	0	0	1	2
10552	none	1	0	1	1	1	1	1	1	1	2	1	1	1	1
10553	none	1	0	1	2	1	1	1	1	1	1	1	1	1	2
10558.1	none	3	3	2	4	2	2	2	2	3	1	0	1	0	0
10558.2	none	1	1	1	1	1	1	1	1	1	1	0	1	1	2
10560	none	2	1	1	1	1	1	1	1	1	1	2	2	1	2
10563	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
