baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC101887249	0	NA	NA	NA	NA	NA
LOC101887250	2041.36644800146	-0.982327773291907	0.149855576494377	-6.55516328635771	5.55810254402979e-11	5.05645397653849e-09
LOC101887251	106.965994414388	0.036941152410972	0.237320913805617	0.155659068636612	0.876301762303758	0.935307754894412
LOC101887252	3263.70852932638	-0.180846432525677	0.108926119652054	-1.66026691397215	0.0968607686137384	0.25589103764977
LOC101887253	61.4676610110106	0.307988437779915	0.260106377222483	1.18408645366075	0.236378841868482	0.446395473072291
LOC101887254	387.024234148919	0.0709689235042236	0.149354554888741	0.475170801165659	0.634665237170776	0.791056216980305
LOC101887255	279.450037977314	0.285405299725181	0.154218873522513	1.85065091714289	0.0642197895377436	0.196023530839528
LOC101887256	420.228327938587	0.481060934099573	0.140982173196792	3.41221108450411	0.000644381940602816	0.00841164410574139
LOC101887257	73.9331942995648	-0.128772349935808	0.253052199199119	-0.508876628392709	0.610838703022228	0.772529122410796
LOC101887258	2.44155603574485	-0.201102489488649	0.321472614064459	-0.62556647344251	0.531599334977585	NA
LOC101887259	30.1799031070676	0.0644248846768047	0.317933395066507	0.202636419062955	0.839419222192797	0.916480947081637
LOC101887260	19.6701613446942	0.159525980655239	0.343719537032559	0.464116709898071	0.642564130464929	0.796904141197286
LOC101887261	352.630183395251	0.220873263403623	0.21105881646772	1.04650100431793	0.295329781480158	0.511506081175364
LOC101887262	662.313440444369	0.373173606263762	0.149097189528595	2.50288826666443	0.0123184426577035	0.0655784711242949
LOC101887263	30.210150118052	-0.333436799476688	0.344507509400247	-0.967865112888739	0.333111739722651	0.54983790477453
LOC101887264	305.125123071544	-0.294267656791262	0.172214795600584	-1.70872459456825	0.0875019761161018	0.23910023864054
LOC101887265	0.530940295981606	-0.031790873577855	0.187314751051923	-0.169719007175483	0.865231125368304	NA
LOC101887266	65.9205841961752	-0.726362940302757	0.285300209414349	-2.54596006709494	0.0108977654130108	0.0608803927464929
LOC101887267	97.6067018325651	0.0935325184966635	0.21489167153521	0.43525427406496	0.663377871332242	0.809622185583347
LOC101887268	1.84544511344922	0.192296255992575	0.322691722276343	0.595913197388741	0.551233216291571	NA
LOC101887269	467.914712461689	-0.414559332902898	0.151111233739696	-2.74340512378462	0.00608056165900787	0.0414782590604657
LOC101887270	4.9027804072846	0.0978949349940226	0.372034227135514	0.263134216837431	0.792447131724668	NA
LOC101887271	8.81306529982881	0.345115327092321	0.383419176508317	0.900099286204676	0.368067415865072	NA
LOC101887272	2.06479104137683	-0.207257879368477	0.331100144924746	-0.625967347177041	0.531336358909674	NA
