baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0000274	21.4834412383883	-0.15796441466411	0.223174479304307	-0.707806802805257	0.479065241243976	0.883868786714777
FBgn0000276	3762.09497786959	0.349301609147733	0.139522397064694	2.50355223603109	0.0122953529042755	0.209444765940575
FBgn0000277	3939.88242182418	1.41557997690834	0.211185430757407	6.70301910426029	2.04156760737424e-11	4.63935822614534e-09
FBgn0000278	464.630230164002	2.05834822510505	0.221852848391299	9.27798872103988	1.72707790837399e-20	6.20355242249818e-18
FBgn0000279	1490.44903540152	4.68266488766166	0.209867071020405	22.3125279487336	2.79259195179096e-110	1.03651704610641e-106
FBgn0000280	1.51002671568018	0.173600843233171	0.103030040574068	1.68495365299181	0.0919975137930251	NA
FBgn0000281	4.18277471948834	0.431736661235797	0.15151621896281	2.84944188939777	0.00437960054180182	NA
FBgn0000283	4669.34612073593	0.00900985899837999	0.135664923043904	0.0664125906404285	0.947049346452675	0.994261432083536
FBgn0000286	1338.96958056527	0.0245668899935953	0.116095379428027	0.211609541349797	0.832411664980358	0.972008583572586
FBgn0000287	38.2980590996825	-0.176796637536327	0.221869403893083	-0.796850013720339	0.425538144460351	0.863262549903289
FBgn0000289	5181.70842202162	0.130055219067498	0.107174625917926	1.21348890144103	0.224942955122513	0.743044247556262
FBgn0000299	3381.43310618881	-0.305679468376158	0.204122480264909	-1.49752965954288	0.134255494051401	0.635061565956819
FBgn0000303	168.174463892737	-0.159981150705934	0.196932461543971	-0.812365566609311	0.4165818981955	0.859262963877985
FBgn0000307	4248.02024389034	-0.0509229849029534	0.162558144020846	-0.31326012738201	0.75408304039626	0.956547097239328
FBgn0000308	9589.21661450919	0.0935283097702213	0.12125866276236	0.771312396488457	0.440521786300915	0.867960363759911
FBgn0000316	2408.67172572368	-0.0811455043241126	0.123818033927776	-0.655360949855214	0.512235387305065	0.894564152704187
FBgn0000317	1389.91684079054	-0.278026976102553	0.0953274578317885	-2.91654663227409	0.00353929811812527	0.0971928512929528
FBgn0000318	2012.1443268492	0.169024496757976	0.110251294813199	1.53308400635438	0.12525515783888	0.615414683704476
FBgn0000319	10292.7319601156	-0.233379292151435	0.12449259711078	-1.87464393520332	0.0608417246273928	0.477993361870473
