OGS	desc	musDom	gloMor	droWil	droPse	droYak	droMel	droAna	droVir	droMoj	culQui	aedAeg	anoDar	anoSte	anoGam
sim.730.014	none	0	0	0	0	0	0	0	0	0	8	12	1	0	0
sim.731.014	none	0	0	0	0	0	0	0	0	0	3	0	0	0	3
sim.732.014	none	0	0	4	0	0	0	0	1	1	0	0	0	0	0
sim.733.014	none	0	0	0	0	0	0	0	0	0	0	0	1	3	7
sim.734.014	none	0	0	0	0	0	0	0	0	0	9	2	0	1	1
sim.735.014	none	0	0	0	0	0	0	0	0	0	12	3	5	5	5
sim.736.014	none	0	0	0	0	0	0	0	0	0	3	3	4	4	3
sim.737.014	none	5	2	10	6	6	7	3	8	18	0	0	0	0	0
sim.738.014	none	0	0	0	0	0	0	0	0	0	2	0	6	7	5
sim.739.014	none	0	0	0	0	0	0	0	0	0	12	9	0	0	0
sim.74.014	none	0	0	0	0	0	0	0	0	0	0	0	4	3	4
sim.740.014	none	0	0	0	0	0	0	0	0	0	3	3	0	0	0
sim.741.014	none	0	0	1	2	0	0	0	5	0	0	0	0	0	0
sim.742.014	none	37	17	8	15	6	5	10	7	15	0	0	0	0	0
sim.743.014	none	7	1	2	2	4	4	6	1	1	0	0	0	0	0
sim.744.014	none	0	0	0	0	0	0	0	0	0	0	0	12	1	0
sim.745.014	none	5	16	4	8	3	4	2	8	9	1	1	4	7	3
sim.746.014	none	0	0	0	0	0	0	0	0	0	6	5	0	1	1
sim.747.014	none	5	3	3	6	5	7	2	1	2	0	0	0	0	0
sim.748.014	none	0	0	0	0	0	0	0	0	0	7	1	0	0	0
sim.749.014	none	4	2	1	2	2	2	1	1	1	0	0	0	0	0
sim.75.014	none	0	0	2	0	3	5	4	1	0	0	0	0	0	0
sim.750.014	none	1	1	1	9	6	5	11	2	4	0	0	0	0	0
sim.751.014	none	1	1	0	0	0	0	0	0	0	6	8	1	2	1
sim.752.014	none	6	6	14	16	10	9	10	4	10	0	0	0	0	0
sim.753.014	none	2	4	2	9	8	8	4	6	4	0	0	0	0	0
sim.754.014	none	5	7	0	0	0	0	0	0	0	3	2	2	0	1
sim.755.014	none	3	1	1	0	0	0	0	0	0	0	0	0	0	0
sim.756.014	none	3	4	4	3	1	1	0	11	9	0	0	0	0	0
sim.757.014	none	8	4	9	13	6	6	11	12	11	0	0	0	0	0
sim.758.014	none	15	17	5	4	6	10	12	6	8	0	0	0	0	0
sim.759.014	none	0	0	0	0	0	0	0	0	0	0	0	4	10	5
sim.76.014	none	0	0	0	0	0	0	0	0	0	3	2	0	0	0
sim.760.014	none	3	5	0	4	2	3	1	4	6	6	4	0	0	0
sim.761.014	none	3	3	0	0	0	0	0	0	0	0	0	0	0	0
sim.762.014	none	0	0	0	0	0	0	0	0	0	0	0	2	1	2
sim.763.014	none	0	0	0	0	0	0	0	0	0	3	3	0	0	2
sim.764.014	none	6	2	9	6	7	6	8	4	3	0	0	0	0	0
sim.765.014	none	0	0	0	0	0	0	0	0	0	2	1	8	10	8
sim.766.014	none	1	0	7	2	3	2	3	0	0	22	8	8	18	9
sim.767.014	none	0	0	0	4	1	1	1	1	4	0	0	0	0	0
sim.768.014	none	0	3	0	0	0	0	0	2	4	0	0	0	0	0
sim.769.014	none	5	2	0	0	0	0	0	8	3	4	9	2	8	4
sim.77.014	none	0	0	0	0	0	0	0	0	0	0	0	2	1	1
sim.770.014	none	0	0	0	0	0	0	0	0	0	4	0	1	1	4
sim.771.014	none	2	2	0	0	0	0	0	0	0	0	0	0	0	0
sim.772.014	none	0	2	1	1	0	0	1	0	1	0	0	0	0	0
sim.773.014	none	6	8	0	1	6	2	2	1	2	0	0	0	0	0
sim.774.014	none	0	0	2	6	2	3	4	3	1	0	0	0	0	0
sim.775.014	none	1	0	3	2	5	5	4	3	3	0	0	0	0	0
sim.776.014	none	0	0	0	0	0	0	0	0	0	0	0	5	2	4
sim.777.014	none	16	15	10	23	7	11	11	12	17	0	0	0	0	0
sim.778.014	none	2	1	7	4	5	5	9	5	8	0	0	0	0	0
sim.779.014	none	10	14	0	0	0	0	0	0	0	0	0	0	0	0
sim.78.014	none	0	0	0	0	0	0	0	0	0	0	0	4	2	2
sim.780.014	none	0	0	0	0	0	0	0	0	0	0	0	0	4	3
sim.781.014	none	0	0	0	0	0	0	0	0	0	8	6	6	0	1
sim.782.014	none	14	11	3	6	3	4	4	7	5	0	0	0	0	0
sim.783.014	none	0	0	0	0	0	0	0	0	0	18	9	8	6	3
sim.784.014	none	6	6	0	0	0	0	0	0	1	0	0	0	0	0
sim.785.014	none	0	0	0	0	0	0	0	0	0	3	2	1	1	2
sim.786.014	none	1	2	2	6	4	2	1	0	0	0	0	0	0	0
sim.787.014	none	0	0	6	8	7	7	3	1	4	0	0	0	0	0
sim.788.014	none	0	0	0	0	0	0	0	0	0	5	0	0	0	0
sim.789.014	none	10	6	1	1	0	0	1	6	6	1	0	1	0	0
sim.79.014	none	4	4	3	2	4	3	1	4	2	0	0	0	0	0
sim.790.014	none	0	0	0	0	0	0	0	0	0	4	5	8	11	15
sim.791.014	none	2	1	1	0	3	4	3	2	0	0	0	0	0	0
sim.792.014	none	0	0	0	0	0	0	0	0	0	9	18	4	3	4
sim.793.014	none	3	3	0	2	2	1	0	1	0	5	0	9	7	9
sim.794.014	none	0	0	0	0	0	0	0	0	0	3	2	4	4	6
sim.795.014	none	2	6	1	2	1	0	3	1	3	0	0	0	0	0
sim.796.014	none	0	2	4	7	3	2	5	4	3	0	0	0	0	0
sim.797.014	none	1	1	1	0	0	0	1	1	0	0	0	0	0	0
sim.798.014	none	0	0	0	0	0	0	0	0	0	5	15	3	1	4
sim.799.014	none	0	0	2	3	3	4	3	1	0	0	0	0	0	0
sim.8.014	none	7	4	12	6	9	8	16	15	19	0	1	2	3	5
sim.80.014	none	0	0	0	0	0	0	0	0	0	1	5	2	0	0
sim.800.014	none	0	0	0	0	0	0	0	0	0	0	0	2	2	3
sim.801.014	none	0	0	0	0	0	0	0	0	0	0	0	1	4	1
sim.802.014	none	5	6	0	8	6	10	5	5	5	0	0	0	0	0
sim.803.014	none	4	3	2	2	2	3	2	2	2	0	0	0	0	0
sim.804.014	none	2	5	6	4	11	7	7	6	7	0	0	0	0	0
sim.805.014	none	1	1	1	0	1	1	1	5	1	6	1	2	1	3
sim.806.014	none	4	4	0	0	0	0	0	0	0	0	0	0	0	0
sim.807.014	none	2	6	4	13	7	8	11	6	5	9	17	30	6	9
sim.808.014	none	0	0	0	0	0	0	0	0	0	0	0	5	1	1
sim.809.014	none	0	0	0	0	0	0	0	0	0	0	0	10	3	6
sim.81.014	none	0	0	0	0	0	0	0	0	0	0	1	5	5	6
sim.810.014	none	3	1	11	13	21	22	14	16	8	1	0	5	1	1
sim.811.014	none	0	0	4	5	2	1	2	0	1	0	0	0	0	0
sim.812.014	none	2	3	0	0	0	0	0	0	0	4	0	0	0	0
